TERM	SYMBOL	CATEGORY	LIST
HC	FAT4		Compendium
HC	FLT4		Compendium
HC	GMPS		Compendium
HC	GNAS		Compendium
HC	HNF1A		Compendium
HC	HNRNPA2B1		Compendium
HC	IDH1		Compendium
HC	IL6ST		Compendium
HC	IL7R		Compendium
HC	KEAP1		Compendium
HC	KMT2A		Compendium
HC	KMT2C		Compendium
HC	KMT2D		Compendium
HC	KRAS		Compendium
HC	LRP1B		Compendium
HC	MAP3K1		Compendium
HC	MAPK1		Compendium
HC	MEN1		Compendium
HC	MTOR		Compendium
HC	NBEA		Compendium
HC	NCOR2		Compendium
HC	NF1		Compendium
HC	NF2		Compendium
HC	NFE2L2		Compendium
HC	NRAS		Compendium
HC	PIK3CA		Compendium
HC	POT1		Compendium
HC	PRDM2		Compendium
HC	PTEN		Compendium
HC	RANBP2		Compendium
HC	RB1		Compendium
HC	RPL22		Compendium
HC	RPS6KA3		Compendium
HC	RUNX1T1		Compendium
HC	SETD2		Compendium
HC	SETDB1		Compendium
HC	SMARCA4		Compendium
HC	TET1		Compendium
HC	TFG		Compendium
HC	TP53		Compendium
HC	TSC1		Compendium
HC	TSC2		Compendium
HC	USP8		Compendium
HC	WNK2		Compendium
HC	XPC		Compendium
HC	ZNF521		Compendium
HGG	ACVR1		Compendium
HGG	ARID1B		Compendium
HGG	ASXL1		Compendium
HGG	ATM		Compendium
HGG	ATRX		Compendium
HGG	BCORL1		Compendium
HGG	BRAF		Compendium
HGG	CDKN2C		Compendium
HGG	EGFR		Compendium
HGG	H3F3A		Compendium
HGG	IDH1		Compendium
HGG	KMT2D		Compendium
HGG	PDGFRA		Compendium
HGG	PIK3CA		Compendium
HGG	PPM1D		Compendium
HGG	PTEN		Compendium
HGG	SIRPA		Compendium
HGG	TP53		Compendium
HNSC	AJUBA		Compendium
HNSC	ARID2		Compendium
HNSC	ASXL1		Compendium
